OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
76,2020/05/29 14:00:00+00,177,3643,5819,5426,329,248,861,364,1056,140,1856,10,854,1868,167,11035,14773,160,73,460,91,441,931,206,0
77,2020/05/30 14:00:00+00,177,3743,5955,5564,334,253,880,366,1085,141,1890,10,861,1905,170,11251,15022,159,73,471,96,456,943,210,0
78,2020/05/31 14:00:00+00,178,3785,6065,5664,341,259,913,371,1108,142,1911,10,882,1928,173,11361,15220,160,73,499,99,469,953,214,0
79,2020/06/01 14:00:00+00,180,3842,6299,5604,349,260,914,369,1120,142,1928,10,881,1944,174,11476,15353,161,73,505,101,472,955,215,0
80,2020/06/02 14:00:00+00,181,3924,6385,5688,352,263,927,377,1133,144,1961,10,891,1975,174,11731,15553,161,74,518,101,480,955,217,0
81,2020/06/03 14:00:00+00,182,4009,6457,5801,348,265,940,381,1152,147,2005,10,901,2004,178,11924,15738,162,75,536,103,486,959,219,0
82,2020/06/04 14:00:00+00,182,4080,6476,5906,352,268,947,388,1174,152,2041,10,920,2033,180,12226,15940,161,76,542,106,516,959,223,0
83,2020/06/05 14:00:00+00,183,4150,6590,6038,353,268,960,393,1185,153,2069,10,939,2074,184,12434,16169,163,76,547,106,529,967,230,0
84,2020/06/06 14:00:00+00,184,4210,6696,6141,354,270,950,399,1196,154,2100,10,947,2094,185,12624,16316,168,76,548,108,545,975,232,0
85,2020/06/07 14:00:00+00,184,4236,6753,6229,358,272,952,404,1202,155,2114,10,957,2125,187,12734,16434,170,76,553,108,548,977,235,0
86,2020/06/08 14:00:00+00,185,4267,6814,6296,362,272,954,408,1211,156,2135,10,961,2156,187,12818,16523,177,77,553,108,551,984,239,0
87,2020/06/09 14:00:00+00,186,4309,6852,6355,363,273,963,417,1216,157,2152,10,969,2191,188,12968,16636,177,77,561,108,545,990,241,0
88,2020/06/10 14:00:00+00,185,4348,6916,6428,363,276,969,423,1231,157,2178,10,982,2220,189,13124,16753,178,77,565,108,551,992,242,0
89,2020/06/11 14:00:00+00,185,4421,6985,6509,366,278,976,429,1235,159,2202,10,990,2311,188,13276,16940,178,78,573,107,560,998,243,0
90,2020/06/12 14:00:00+00,187,4453,7051,6559,370,279,977,435,1248,160,2225,10,991,2332,189,13348,17042,179,78,575,107,568,1004,246,0
91,2020/06/13 14:00:00+00,187,4522,7107,6633,373,282,983,439,1264,161,2251,10,1004,2371,192,13534,17216,179,79,578,107,570,1010,253,0
92,2020/06/14 14:00:00+00,187,4607,7151,6689,375,283,989,443,1269,162,2273,10,1009,2335,193,13607,17326,180,79,580,107,571,1020,256,0
93,2020/06/15 14:00:00+00,187,4623,7199,6747,376,283,992,445,1272,165,2298,10,1019,2350,193,13657,17400,183,80,582,107,579,1027,258,0
94,2020/06/16 14:00:00+00,188,4751,7248,6782,380,284,987,450,1277,166,2308,10,1023,2327,193,13709,17499,183,82,585,109,579,1031,258,0
95,2020/06/17 14:00:00+00,188,4796,7329,6866,382,284,1006,455,1291,170,2336,10,1032,2343,192,13819,17611,187,82,587,110,593,1035,265,0
96,2020/06/18 14:00:00+00,187,4835,7371,6906,385,285,1010,456,1294,170,2342,10,1036,2348,193,13862,17666,187,83,595,110,595,1036,267,0
97,2020/06/19 14:00:00+00,187,4862,7403,6938,389,288,1028,459,1294,174,2361,10,1041,2382,193,13928,17709,203,83,599,113,601,1036,267,0
98,2020/06/20 14:00:00+00,188,4880,7480,6993,393,290,1028,460,1304,180,2380,10,1052,2409,193,14004,17804,204,83,597,113,602,1039,270,0
99,2020/06/21 14:00:00+00,188,4904,7537,7053,394,294,1030,460,1313,183,2393,10,1056,2423,193,14079,17874,205,83,602,115,603,1043,271,0
100,2020/06/22 14:00:00+00,189,4916,7585,7095,397,294,1031,461,1328,183,2407,10,1060,2436,194,14141,17935,211,83,599,117,611,1046,274,0
101,2020/06/23 14:00:00+00,192,4946,7635,7148,398,296,1061,461,1333,183,2419,10,1064,2423,194,14204,18080,211,84,605,116,616,1051,277,0
102,2020/06/24 14:00:00+00,194,4956,7652,7210,402,297,1082,464,1341,183,2425,10,1072,2436,195,14283,18151,213,84,606,116,634,1053,278,0
103,2020/06/25 14:00:00+00,203,4985,7710,7258,403,302,1101,460,1350,184,2441,10,1078,2453,194,14381,18249,215,85,610,119,653,1055,278,0
104,2020/06/26 14:00:00+00,204,5005,7768,7299,404,309,1104,462,1357,182,2448,10,1078,2470,195,14471,18307,220,86,611,121,663,1059,282,0
105,2020/06/27 14:00:00+00,204,5042,7800,7363,408,315,1104,473,1362,183,2465,10,1090,2490,196,14520,18342,224,86,619,130,684,1058,282,0
106,2020/06/28 14:00:00+00,204,5055,7847,7416,410,315,1105,473,1371,185,2471,11,1096,2501,198,14607,18414,226,86,620,130,694,1060,282,0
107,2020/06/29 14:00:00+00,204,5092,7929,7498,413,318,1114,478,1383,188,2486,11,1108,2527,199,14675,18505,227,87,633,136,695,1062,286,0
108,2020/06/30 14:00:00+00,205,5109,7985,7546,414,319,1117,479,1393,188,2490,11,1116,2538,198,14737,18572,230,87,637,137,698,1067,286,0
109,2020/07/01 14:00:00+00,205,5134,8040,7605,415,320,1136,480,1399,188,2493,11,1127,2568,200,14803,18645,230,87,639,137,697,1070,289,0
110,2020/07/02 14:00:00+00,205,5179,8105,7701,418,321,1149,486,1416,189,2501,11,1153,2602,201,14899,18731,232,87,646,141,687,1074,289,0
111,2020/07/03 14:00:00+00,206,5200,8183,7789,419,321,1155,487,1426,188,2520,11,1173,2618,200,15021,18861,234,87,651,144,691,1085,291,0
112,2020/07/04 14:00:00+00,208,5239,8234,7857,419,322,1156,490,1430,192,2546,13,1176,2637,200,15082,18940,240,87,652,147,695,1087,292,0
113,2020/07/05 14:00:00+00,210,5261,8285,7897,421,322,1158,494,1437,201,2552,14,1180,2651,203,15129,18998,247,88,654,150,696,1088,296,0
114,2020/07/06 14:00:00+00,210,5290,8335,7960,422,322,1164,498,1441,201,2554,15,1189,2666,203,15163,19040,248,88,659,152,696,1091,297,0
115,2020/07/07 14:00:00+00,210,5305,8381,8000,422,323,1182,505,1451,199,2551,15,1198,2685,204,15332,19182,256,91,662,155,691,1095,301,0
116,2020/07/08 14:00:00+00,212,5341,8443,8071,425,325,1188,512,1473,199,2553,16,1209,2723,204,15400,19285,260,93,666,161,694,1102,306,0
117,2020/07/09 14:00:00+00,212,5391,8497,8155,435,329,1190,514,1483,199,2567,17,1225,2751,203,15503,19456,268,94,673,165,702,1109,309,0
118,2020/07/10 14:00:00+00,213,5423,8581,8249,438,332,1200,518,1496,203,2577,19,1246,2770,204,15568,19510,273,98,679,170,710,1119,314,0
119,2020/07/11 14:00:00+00,216,5471,8675,8367,445,334,1210,526,1502,209,2586,22,1262,2793,204,15623,19598,287,98,689,184,720,1130,316,0
120,2020/07/12 14:00:00+00,216,5514,8797,8489,449,336,1217,527,1517,217,2598,26,1279,2825,204,15727,19713,290,99,700,185,727,1136,321,0
121,2020/07/13 14:00:00+00,218,5562,8892,8566,453,336,1221,529,1528,217,2605,27,1288,2850,205,15780,19773,290,101,708,189,728,1139,322,0
122,2020/07/14 14:00:00+00,220,5619,8990,8689,458,345,1224,531,1534,217,2619,27,1311,2891,205,15883,19956,296,103,721,197,737,1156,331,0
123,2020/07/15 14:00:00+00,222,5683,9153,8835,459,347,1228,536,1552,219,2635,28,1325,2922,208,15986,20099,299,105,730,207,739,1160,339,0
124,2020/07/16 14:00:00+00,224,5735,9261,8998,467,350,1235,538,1567,231,2655,29,1336,2957,211,16056,20191,301,105,739,216,743,1164,355,0
125,2020/07/17 14:00:00+00,227,5813,9376,9141,479,351,1248,542,1583,232,2661,30,1351,2983,215,16153,20302,305,106,753,230,751,1173,366,0
126,2020/07/18 14:00:00+00,232,5902,9517,9284,483,352,1256,550,1593,238,2701,33,1380,3040,218,16251,20425,310,107,764,238,773,1176,383,0
127,2020/07/19 14:00:00+00,237,5955,9723,9428,490,360,1269,553,1609,245,2722,34,1412,3097,221,16372,20589,318,108,773,243,784,1181,408,0
128,2020/07/20 14:00:00+00,239,6003,9828,9505,494,365,1276,559,1619,246,2739,34,1427,3128,223,16433,20690,331,108,779,257,796,1189,417,0
129,2020/07/21 14:00:00+00,240,6062,9994,9644,495,367,1296,566,1642,246,2785,34,1452,3177,224,16520,20867,335,110,785,265,816,1195,428,0
130,2020/07/22 14:00:00+00,240,6105,10153,9738,503,368,1311,570,1659,288,2797,37,1472,3198,221,16593,20958,340,110,789,268,818,1201,435,0
131,2020/07/23 14:00:00+00,244,6144,10345,9842,509,371,1316,576,1679,294,2820,38,1514,3242,223,16654,21038,341,111,790,274,826,1206,439,0
132,2020/07/24 14:00:00+00,244,6229,10520,10001,515,374,1337,583,1695,303,2833,41,1540,3271,224,16768,21210,350,114,805,289,833,1219,468,0
133,2020/07/25 14:00:00+00,252,6343,10793,10210,528,393,1355,596,1719,305,2870,42,1579,3313,228,16922,21432,357,114,822,298,864,1228,491,0
134,2020/07/26 14:00:00+00,256,6380,10924,10353,535,403,1369,597,1730,317,2879,42,1597,3327,229,17020,21558,366,114,834,308,871,1239,500,0
